PLAYER INFO,,SNAKE DRAFT STATS,
Rank,Player,AVG PICK,%ROST
514,"Trayveon Williams
DETRB",170,0
515,"Ameer Abdullah
JAXRB",170,0.1
516,"Easton Stick
INDQB",170,0
517,"Case Keenum
CHIQB",170,0.1
518,"Josh Johnson
CINQB",170,0.1
519,"Trenton Irwin
SFWR",170,0
520,"K.J. Osborn
TENWR",170,0
521,"JaMycal Hasty
NERB",170,0
522,"Salvon Ahmed
CHIRB",170,0.1
523,"Trey SermonIR
ATLRB",170,0
524,"Elijah MooreQ
PHIWR",170,0.1
525,"Sam Ehlinger
DENQB",170,0
526,"Cody White
SEAWR",170,0
527,"Patrick Taylor Jr.IR
SFRB",170,0
528,"Velus Jones Jr.
SEARB",170,0
529,"Dameon PierceQ
PHIRB",170,0.1
530,"Grant CalcaterraQ
PHITE",170,0.1
531,"Teagan Quitoriano
ARITE",170,0
532,"Jerome FordIR
WSHRB",170,0.1
533,"Skylar ThompsonIR
BALQB",170,0
534,"Chris Oladokun
KCQB",170,0
535,"Raheem Blackshear
DETRB",170,0
536,"Hendon Hooker
TENQB",170,0
537,"Cameron Latu
PHITE",170,0
538,"Scott Matlock
LACRB",170,0
539,"Jake Haener
NYGQB",170,0
540,"Julian HillIR
NETE",170,0
541,"Brady Russell
SEARB",170,0
542,"Tyler Goodson
ATLRB",170,0
543,"Jamari ThrashIR
CLEWR",170,0
544,"Sione Vaki
DETRB",170,0.1
545,"Colson Yankoff
WSHTE",170,0
546,"Sincere McCormick
SFRB",170,0
547,"Chris CollierIR
LVRB",170,0
548,"Jarquez Hunter
LARRB",170,0.1
549,"Mitchell Evans
CARTE",170,0.1
550,"Jordan Watkins
SFWR",170,
551,"Kurtis Rourke
SFQB",170,0
552,"Dominic Lovett
DETWR",170,0
553,"Lan Larison
NERB",170,0
554,"Raheim Sanders
CLERB",170,0.1
555,"Beaux Collins
ATLWR",170,0
556,"Zavier Scott
MINRB",170,0.1
557,"Drake Dabney
GBTE",170,0
558,"Taylen Green
CLEQB",170,0.1
559,"Cole Payton
PHIQB",170,0
560,"C.J. Ham
MINRB",170,0
561,"Hunter Renfrow
FAWR",170,0
562,"Cordarrelle Patterson
FARB",170,0
563,"Tim Boyle
FAQB",170,0
564,"Anthony Miller
FAWR",170,0
565,"Gus Edwards
FARB",170,0
566,"Amari Cooper
LVWR",170,0.1
567,"Adam Thielen
PITWR",170,0.1
568,"Khari Blasingame
FARB",170,0
569,"Cam Akers
FARB",170,0
570,"Zack MossQ
FARB",170,0
571,"Darrynton Evans
FARB",170,0
572,"Khalil Herbert
SFRB",170,0
573,"Desmond Ridder
FAQB",170,0
574,"Deuce Vaughn
FARB",170,0
575,"Kenny McIntosh
FARB",170,0
576,"Jaren Hall
FAQB",170,0
577,"Chase Cota
FAWR",170,0
578,"Xazavian Valladay
FARB",170,0
579,"Nathan Rourke
FAQB",170,0
580,"Lucas Havrisik
FAK",170,0
