RK,PLAYER,POS,GP,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,AVG,TTL
51,Chris Olave   NO,WR,16,5.4,5.4,5.7,7.0,5.9,9.8,21.8,6.0,5.7,16.4,BYE,7.0,10.7,3.0,14.5,26.8,17.9,10.6,169.0
52,Ka'imi Fairbairn   HOU,K,14,14.0,9.0,4.0,10.0,18.0,BYE,8.0,14.0,18.0,,,12.0,9.0,8.0,18.0,16.0,10.0,12.0,168.0
53,Jaylen Warren   PIT,RB,15,11.9,13.4,8.1,,BYE,6.3,15.8,7.3,14.9,9.1,6.7,12.8,10.4,12.2,4.8,27.1,6.4,11.1,167.2
54,Seattle Seahawks   SEA,DST,16,8.0,14.0,16.0,11.0,-3.0,11.0,9.0,BYE,9.0,21.0,2.0,4.0,30.0,19.0,4.0,2.0,10.0,10.4,167.0
54,Cameron Dicker   LAC,K,16,9.0,8.0,12.0,5.0,6.0,17.0,7.0,15.0,11.0,14.0,8.0,BYE,9.0,20.0,12.0,10.0,4.0,10.4,167.0
56,Davante Adams   LAR,WR,14,5.1,16.6,11.6,11.6,8.8,3.9,21.5,BYE,18.0,13.7,6.1,18.2,17.8,2.9,7.1,,,11.6,162.9
57,Joe Flacco   CIN,QB,12,14.2,9.8,4.7,3.3,,18.8,26.0,24.3,32.7,BYE,10.9,10.6,,,,0.2,1.2,13.0,156.5
58,RJ Harvey   DEN,RB,16,6.9,2.4,1.6,15.8,3.0,2.5,6.2,23.1,11.6,1.8,5.0,BYE,18.2,16.0,10.5,18.1,13.6,9.8,156.3
59,Nico Collins   HOU,WR,15,2.5,11.2,14.4,7.9,12.0,BYE,2.7,,7.5,15.6,15.2,5.5,16.5,12.1,20.5,5.9,5.7,10.3,155.2
60,TreVeyon Henderson   NE,RB,16,5.1,4.0,4.7,10.6,2.7,3.6,0.5,5.5,8.7,27.0,27.3,8.1,8.6,BYE,28.1,1.2,8.2,9.6,153.9
61,Houston Texans   HOU,DST,16,6.0,7.0,5.0,14.0,11.0,BYE,18.0,5.0,8.0,14.0,9.0,15.0,2.0,12.0,7.0,11.0,8.0,9.5,152.0
62,Cam Little   JAC,K,16,15.0,10.0,5.0,9.0,9.0,0.0,1.0,BYE,15.0,13.0,5.0,13.0,6.0,11.0,12.0,11.0,14.0,9.3,149.0
63,Will Reichard   MIN,K,16,9.0,8.0,14.0,8.0,3.0,BYE,18.0,6.0,11.0,9.0,5.0,10.0,0.0,8.0,12.0,11.0,16.0,9.3,148.0
64,Kenneth Walker III   SEA,RB,16,2.4,17.8,17.0,11.0,8.6,3.7,6.6,BYE,6.1,7.0,17.1,10.1,7.4,2.8,1.9,22.4,5.7,9.2,147.6
65,Jameson Williams   DET,WR,16,2.6,16.8,4.3,3.7,1.0,12.6,0.0,BYE,12.6,17.9,15.7,0.0,19.9,10.3,19.4,7.0,3.7,9.2,147.5
66,Tony Pollard   TEN,RB,16,6.9,9.2,11.9,7.6,11.8,4.7,6.1,5.3,6.8,BYE,2.6,4.1,4.3,28.1,17.2,10.2,9.5,9.1,146.3
67,Zach Charbonnet   SEA,RB,15,10.7,1.0,,10.4,10.8,3.7,17.5,BYE,4.6,14.3,4.7,9.5,11.2,6.6,3.1,13.4,24.2,9.7,145.7
68,Courtland Sutton   DEN,WR,16,12.1,0.6,17.8,14.1,9.9,1.7,10.7,6.7,9.0,2.4,5.9,BYE,12.2,6.2,17.3,14.6,4.0,9.1,145.2
69,Chase McLaughlin   TB,K,16,6.0,2.0,21.0,16.0,12.0,7.0,5.0,17.0,BYE,5.0,8.0,1.0,10.0,9.0,11.0,10.0,5.0,9.1,145.0
70,Quinshon Judkins   CLE,RB,14,,7.1,15.5,17.5,12.8,3.6,26.4,1.7,BYE,8.5,5.9,16.7,12.9,8.4,1.7,5.1,,10.3,143.8
71,Justin Fields   NYJ,QB,9,29.5,4.0,,27.1,25.9,4.9,4.0,20.9,BYE,8.0,19.3,,,,,,,16.0,143.7
72,A.J. Brown   PHI,WR,15,0.8,2.7,16.9,0.7,4.3,8.0,24.1,,BYE,1.3,4.9,17.0,25.2,10.0,10.1,9.5,6.8,9.5,142.3
73,Tyler Shough   NO,QB,10,,,0.0,,,,,5.3,10.2,19.0,BYE,8.9,18.4,22.3,18.1,17.1,21.9,14.1,141.2
74,Chris Boswell   PIT,K,16,14.0,12.0,3.0,6.0,BYE,15.0,8.0,20.0,10.0,6.0,10.0,4.0,1.0,9.0,4.0,11.0,8.0,8.8,141.0
75,Tee Higgins   CIN,WR,14,3.3,11.6,1.5,3.2,8.2,6.2,15.6,10.4,26.1,BYE,12.3,3.1,,21.2,,11.3,5.9,10.0,139.9
76,Andy Borregales   NE,K,16,8.0,9.0,2.0,6.0,13.0,5.0,7.0,13.0,6.0,4.0,10.0,18.0,15.0,BYE,7.0,10.0,6.0,8.7,139.0
77,Jake Bates   DET,K,16,7.0,10.0,9.0,13.0,5.0,5.0,8.0,BYE,7.0,13.0,5.0,12.0,6.0,16.0,11.0,6.0,5.0,8.6,138.0
78,David Montgomery   DET,RB,16,4.3,12.1,28.4,1.2,17.2,6.1,3.9,BYE,9.0,9.1,3.7,3.7,10.8,13.3,9.2,1.4,4.0,8.6,137.4
79,Tyler Loop   BAL,K,16,13.0,12.0,7.0,9.0,4.0,3.0,BYE,13.0,4.0,14.0,12.0,11.0,2.0,10.0,6.0,6.0,11.0,8.6,137.0
80,Mac Jones   SF,QB,11,,21.8,14.3,,22.2,13.2,6.2,19.0,15.8,24.1,-0.3,,0.2,BYE,,-0.3,,12.4,136.0
80,Evan McPherson   CIN,K,16,5.0,7.0,5.0,3.0,8.0,5.0,17.0,8.0,11.0,BYE,8.0,12.0,24.0,4.0,0.0,10.0,9.0,8.5,136.0
80,Eddy Pineiro   SF,K,13,,10.0,12.0,7.0,17.0,18.0,11.0,1.0,12.0,2.0,14.0,,,BYE,14.0,12.0,6.0,10.5,136.0
83,Tetairoa McMillan   CAR,WR,16,6.8,10.0,4.8,6.2,7.3,14.9,3.3,9.9,4.6,6.0,25.0,9.5,10.3,BYE,2.5,13.3,0.5,8.4,134.9
83,Kenny Gainwell   PIT,RB,16,2.3,3.6,8.6,25.4,BYE,3.6,1.5,1.5,3.4,0.4,22.5,12.2,4.5,10.2,12.6,18.8,3.8,8.4,134.9
85,Harrison Butker   KC,K,16,11.0,7.0,13.0,13.0,4.0,6.0,7.0,4.0,8.0,BYE,7.0,16.0,4.0,4.0,8.0,12.0,10.0,8.4,134.0
85,Joey Slye   TEN,K,15,15.0,17.0,11.0,0.0,13.0,,10.0,2.0,9.0,BYE,10.0,6.0,3.0,8.0,6.0,6.0,18.0,8.9,134.0
87,Marcus Mariota   WAS,QB,12,0.0,,20.3,17.2,,,4.9,13.3,0.0,18.7,16.4,BYE,24.3,-1.1,14.7,3.7,,11.0,132.5
88,Cairo Santos   CHI,K,14,7.0,3.0,7.0,19.0,BYE,,,11.0,11.0,6.0,16.0,8.0,6.0,8.0,8.0,14.0,8.0,9.4,132.0
89,Emeka Egbuka   TB,WR,16,19.6,8.9,8.5,16.1,24.3,2.4,5.8,3.5,BYE,17.5,4.0,3.2,4.2,1.5,6.4,4.0,2.0,8.2,131.9
90,Zay Flowers   BAL,WR,16,21.1,7.9,1.3,7.4,7.2,2.6,BYE,7.1,6.4,8.1,8.3,6.9,-1.4,12.6,12.8,14.2,9.0,8.2,131.5
91,Jacksonville Jaguars   JAC,DST,16,11.0,8.0,12.0,15.0,7.0,2.0,-4.0,BYE,3.0,11.0,12.0,7.0,14.0,10.0,10.0,6.0,7.0,8.2,131.0
91,Philadelphia Eagles   PHI,DST,16,3.0,5.0,13.0,14.0,2.0,1.0,12.0,6.0,BYE,11.0,8.0,5.0,4.0,13.0,16.0,5.0,13.0,8.2,131.0
93,Jaylen Waddle   MIA,WR,16,3.0,12.8,9.9,4.8,17.0,9.8,1.5,15.9,8.2,14.4,5.2,BYE,4.0,13.1,2.6,7.2,0.7,8.1,130.1
94,J.J. McCarthy   MIN,QB,9,23.2,4.8,,,,BYE,,,19.9,16.7,8.0,2.5,,20.4,24.5,9.3,,14.4,129.4
95,Jacory Croskey-Merritt   WAS,RB,16,14.2,1.7,9.1,5.7,25.0,4.8,3.2,2.5,4.1,3.0,3.3,BYE,2.0,3.2,15.6,8.5,22.5,8.0,128.4
