RK,Name,POS,GP,CMP,ATT,CMP%,YDS,AVG,YDS/G,LNG,TD,INT,SACK,SYL,QBR,RTG
85,Christian McCaffreySF,RB,17,0,1,0,0,0,0,0,0,0,0,0,2.7,39.6
85,Courtland SuttonDEN,WR,17,0,0,0,0,0,0,0,0,0,1,5,0,39.6
85,Brett RypienCIN,QB,1,0,0,0,0,0,0,0,0,0,1,2,0,39.6
85,Corey BojorquezCLE,P,17,0,1,0,0,0,0,0,0,0,0,0,0,39.6
85,Marte MapuNE,LB,17,0,0,0,0,0,0,0,0,0,1,0,,39.6
85,Cole KmetCHI,TE,16,0,1,0,0,0,0,0,0,0,0,0,2,39.6
85,Chris OlaveNO,WR,16,0,1,0,0,0,0,0,0,1,0,0,0,0
85,Tyler WarrenIND,TE,17,0,1,0,0,0,0,0,0,0,0,0,0,39.6
85,Joshua KartyLAR,PK,8,0,1,0,0,0,0,0,0,0,0,0,0,39.6
85,Treylon BurksWSH,WR,8,0,0,0,0,0,0,0,0,0,1,0,0.7,39.6
85,RJ HarveyDEN,RB,17,0,1,0,0,0,0,0,0,0,0,0,59.6,39.6
85,Isaiah WilliamsNYJ,WR,15,0,1,0,0,0,0,0,0,0,0,0,1.6,39.6
100,Kedon SlovisARI,QB,2,1,2,50,-2,-1,-1,0,0,0,0,0,0.3,56.3
