Season,Rank,Player,ATT,YDS,Y/A,LG,20+,TD,TGT,REC,YDS,Y/R,TD,FL,G,FPTS,FPTS/G,ROST
2009,30,Beanie Wells (ARI),176,793,4.5,33,4,7,16,12,143,11.9,0,2,16,131.6,8.2,0.00%
2009,32,Ronnie Brown (MIA),147,648,4.4,45,3,8,20,14,98,7,0,1,9,125.4,13.9,0.00%
2009,33,Justin Forsett (SEA),114,619,5.4,35,6,4,57,41,350,8.5,1,1,16,124.9,7.8,0.00%
2009,34,Darren Sproles (LAC),93,343,3.7,21,2,3,57,45,497,11,4,1,16,124,7.7,0.10%
2009,35,LeSean McCoy (PHI),155,637,4.1,66,1,4,55,40,308,7.7,0,1,16,118.5,7.4,2.00%
2009,36,Steve Slaton (HOU),131,437,3.3,32,3,3,55,44,417,9.5,4,5,11,117.4,10.7,0.00%
2009,37,Reggie Bush (NO),70,390,5.6,55,2,5,68,47,335,7.1,3,2,14,116.5,8.3,0.00%
2009,38,Jason Snelling (ATL),142,613,4.3,31,6,4,39,30,259,8.6,1,1,14,115.2,8.2,0.00%
2009,39,Felix Jones (DAL),116,685,5.9,56,5,3,22,19,119,6.3,0,2,14,94.4,6.7,0.00%
2009,40,Mike Bell (NO),172,654,3.8,35,4,5,4,4,12,3,0,2,13,92.6,7.1,0.00%
2009,41,Correll Buckhalter (DEN),120,642,5.4,45,5,1,38,31,240,7.7,0,2,14,90.2,6.4,0.00%
2009,42,Chester Taylor (MIN),94,338,3.6,25,1,1,59,44,389,8.8,1,0,16,84.7,5.3,0.00%
2009,43,Michael Bush (OAK),123,589,4.8,60,3,3,19,17,105,6.2,0,2,16,83.4,5.2,0.00%
2009,44,Kevin Faulk (NE),62,335,5.4,29,1,2,53,37,301,8.1,1,0,15,81.6,5.4,0.00%
2009,45,Justin Fargas (OAK),129,491,3.8,35,3,3,21,17,113,6.6,0,0,12,78.4,6.5,0.00%
2009,46,Ryan Moats (HOU),101,390,3.9,17,0,4,15,13,106,8.2,1,2,12,75.6,6.3,0.00%
2009,47,Derrick Ward (TB),114,409,3.6,28,3,1,24,20,150,7.5,2,0,14,73.9,5.3,0.00%
2009,48,Maurice Morris (DET),93,384,4.1,64,1,2,38,26,210,8.1,0,0,14,73.4,5.2,0.00%
2009,49,Marshawn Lynch (BUF),120,450,3.8,47,2,2,37,28,179,6.4,0,1,13,72.9,5.6,0.70%
2009,50,Leonard Weaver (PHI),70,323,4.6,41,1,2,26,15,140,9.3,2,0,16,70.3,4.4,0.00%
2008,1,DeAngelo Williams (CAR),273,"1,515",5.5,69,15,18,3,22,121,5.5,2,0,16,285.6,17.8,0.10%
2008,2,Michael Turner (ATL),376,"1,699",4.5,70,11,17,0,6,41,6.8,0,0,16,276,17.3,0.00%
2008,3,Adrian Peterson (MIN),363,"1,760",4.8,67,20,10,4,21,125,6,0,0,16,248.5,15.5,1.90%
2008,4,Matt Forte (CHI),316,"1,238",3.9,50,8,8,16,63,477,7.6,4,0,16,243.5,15.2,19.10%
2008,5,Thomas Jones (NYJ),290,"1,312",4.5,59,6,13,4,36,207,5.8,2,0,16,241.9,15.1,0.00%
2008,6,Steve Slaton (HOU),268,"1,282",4.8,71,13,9,9,50,377,7.5,1,0,16,225.9,14.1,0.00%
2008,7,LaDainian Tomlinson (LAC),292,"1,110",3.8,45,6,11,4,52,426,8.2,1,0,16,225.6,14.1,0.00%
2008,8,Clinton Portis (WAS),342,"1,487",4.3,31,13,9,2,28,218,7.8,0,0,16,224.5,14,0.00%
2008,9,Maurice Jones-Drew (JAC),197,824,4.2,46,3,12,10,62,565,9.1,2,1,16,220.9,13.8,0.00%
2008,10,Brian Westbrook (PHI),233,936,4,39,5,9,14,54,402,7.4,5,0,14,217.8,15.6,0.00%
2008,11,Chris Johnson (TEN),251,"1,228",4.9,66,9,9,2,43,260,6,1,0,15,208.8,13.9,0.60%
2008,12,Brandon Jacobs (NYG),219,"1,089",5,44,12,15,0,6,36,6,0,0,13,202.5,15.6,0.00%
2008,13,Frank Gore (SF),240,"1,036",4.3,41,8,6,9,43,373,8.7,2,0,14,190.9,13.6,8.40%
2008,14,Steven Jackson (LAR),253,"1,042",4.1,56,6,7,8,40,379,9.5,1,0,12,190.1,15.8,0.00%
2008,15,Marshawn Lynch (BUF),250,"1,036",4.1,50,5,8,6,47,300,6.4,1,0,15,187.6,12.5,0.70%
2008,16,Marion Barber (DAL),238,885,3.7,35,4,7,0,52,417,8,2,0,15,184.2,12.3,0.00%
2008,17,Ronnie Brown (MIA),214,916,4.3,62,4,10,5,33,254,7.7,0,0,16,182.7,11.4,0.00%
2008,18,Kevin Smith (DET),238,976,4.1,50,8,8,0,39,286,7.3,0,0,16,174.2,10.9,0.00%
2008,19,LenDale White (TEN),200,773,3.9,80,4,15,0,5,16,3.2,0,0,16,168.9,10.6,0.00%
2008,20,Le'Ron McClain (BAL),232,902,3.9,82,2,10,4,19,123,6.5,1,0,16,168.5,10.5,0.00%
2008,21,Pierre Thomas (NO),129,625,4.8,42,3,9,9,31,284,9.2,3,0,15,162.9,10.9,0.00%
2008,22,Ryan Grant (GB),312,"1,203",3.9,57,6,4,0,18,116,6.4,1,0,16,161.9,10.1,0.00%
2008,23,Derrick Ward (NYG),182,"1,025",5.6,51,8,2,0,41,384,9.4,0,0,16,152.9,9.6,0.00%
2008,24,Jonathan Stewart (CAR),184,836,4.5,41,8,10,1,8,47,5.9,0,0,16,148.3,9.3,0.00%
2008,25,Jamal Lewis (CLE),279,"1,002",3.6,29,3,4,5,23,178,7.7,0,0,16,142,8.9,0.00%
2008,26,Dominic Rhodes (IND),152,538,3.5,38,3,6,3,45,302,6.7,3,0,15,140,9.3,0.00%
2008,27,Kevin Faulk (NE),83,507,6.1,41,4,3,13,58,486,8.4,3,0,15,135.2,9,0.00%
2008,28,Sammy Morris (NE),156,727,4.7,35,6,7,2,17,161,9.5,0,0,13,130.8,10.1,0.00%
2008,29,Leon Washington (NYJ),76,448,5.9,61,3,6,11,47,355,7.6,2,0,16,130.3,8.1,0.00%
2008,30,Larry Johnson (KC),193,874,4.5,65,7,5,0,12,74,6.2,0,0,12,129,10.8,0.00%
2008,31,Mewelde Moore (PIT),140,588,4.2,32,4,5,3,40,320,8,1,0,16,126.8,7.9,0.00%
2008,32,Willis McGahee (BAL),170,671,3.9,77,1,7,3,24,173,7.2,0,1,13,124.4,9.6,0.00%
2008,33,Tim Hightower (ARI),143,399,2.8,30,1,10,3,34,237,7,0,0,16,123.6,7.7,0.00%
2008,33,Warrick Dunn (TB),186,786,4.2,40,3,2,5,47,330,7,0,0,15,123.6,8.2,0.00%
2008,35,Reggie Bush (NO),106,404,3.8,43,4,2,2,52,440,8.5,4,0,10,120.4,12,0.00%
2008,36,Chester Taylor (MIN),101,399,4,21,2,4,2,45,399,8.9,2,0,16,120,7.5,0.00%
2008,37,Jerious Norwood (ATL),95,489,5.1,45,4,4,0,36,338,9.4,2,0,16,118.7,7.4,0.00%
2008,38,Ricky Williams (MIA),160,659,4.1,51,4,4,2,29,219,7.6,1,0,16,117.8,7.4,0.00%
2008,39,Joseph Addai (IND),155,544,3.5,23,1,5,4,25,206,8.2,2,0,12,117,9.8,0.00%
2008,40,Willie Parker (PIT),210,791,3.8,34,4,5,1,3,13,4.3,0,0,11,110.4,10,0.00%
2008,41,Fred Jackson (BUF),130,571,4.4,32,3,3,6,37,317,8.6,0,0,16,106.8,6.7,0.00%
2008,42,Cedric Benson (CIN),214,747,3.5,46,3,2,0,20,185,9.3,0,0,12,105.2,8.8,0.00%
2008,42,Darren Sproles (LAC),61,330,5.4,37,3,1,0,29,342,11.8,5,0,16,105.2,6.6,0.10%
2008,44,Darren McFadden (OAK),113,499,4.4,50,4,4,0,29,285,9.8,0,0,13,102.4,7.9,7.00%
2008,45,Earnest Graham (TB),132,563,4.3,68,3,4,6,23,174,7.6,0,2,10,97.8,9.8,0.00%
2008,46,Correll Buckhalter (PHI),76,369,4.9,33,5,2,10,26,324,12.5,2,0,14,93.3,6.7,0.00%
2008,47,Deuce McAllister (NO),107,418,3.9,19,0,5,0,18,128,7.1,1,0,13,90.6,7,0.00%
2008,48,Peyton Hillis (DEN),68,343,5,19,0,5,0,14,179,12.8,1,0,12,88.2,7.4,0.00%
2008,49,Justin Fargas (OAK),218,853,3.9,42,2,1,0,10,52,5.2,0,0,14,81.3,5.8,0.00%
2008,50,Maurice Morris (SEA),132,574,4.3,45,4,0,5,19,136,7.2,2,1,13,81,6.2,0.00%
2007,1,LaDainian Tomlinson (LAC),315,"1,474",4.7,49,12,15,15,60,475,7.9,3,0,16,307.6,19.2,0.00%
2007,2,Brian Westbrook (PHI),278,"1,333",4.8,36,11,7,16,90,771,8.6,5,1,15,280.4,18.7,0.00%
2007,3,Adrian Peterson (MIN),238,"1,341",5.6,73,11,12,3,19,268,14.1,1,1,14,236.9,16.9,1.90%
2007,4,Clinton Portis (WAS),325,"1,262",3.9,32,3,11,0,47,389,8.3,0,0,16,235.7,14.7,0.00%
2007,5,Joseph Addai (IND),261,"1,072",4.1,23,1,12,0,41,364,8.9,3,0,15,235.6,15.7,0.00%
2007,6,Jamal Lewis (CLE),298,"1,304",4.4,66,9,9,7,30,248,8.3,2,0,15,221.2,14.7,0.00%
2007,7,Marion Barber (DAL),204,975,4.8,54,8,10,0,44,282,6.4,2,0,16,197.7,12.4,0.00%
2007,8,Willis McGahee (BAL),294,"1,207",4.1,46,5,7,2,43,231,5.4,1,0,15,191.8,12.8,0.00%
2007,9,Frank Gore (SF),260,"1,102",4.2,43,5,5,2,53,436,8.2,1,0,15,189.8,12.7,8.40%
2007,10,Edgerrin James (ARI),324,"1,222",3.8,27,3,7,2,24,204,8.5,0,0,16,184.6,11.5,0.00%
2007,11,Earnest Graham (TB),222,898,4,28,6,10,0,49,324,6.6,0,0,15,182.2,12.1,0.00%
2007,12,Marshawn Lynch (BUF),280,"1,115",4,56,6,7,2,18,184,10.2,0,0,13,178.2,13.7,0.70%
2007,13,Maurice Jones-Drew (JAC),167,768,4.6,57,7,9,0,40,407,10.2,0,0,15,171.5,11.4,0.00%
2007,14,Steven Jackson (LAR),237,"1,002",4.2,54,7,5,4,38,271,7.1,1,0,12,167.4,13.9,0.00%
2007,15,LenDale White (TEN),303,"1,110",3.7,28,2,7,0,20,114,5.7,0,0,16,164.4,10.3,0.00%
2007,16,Willie Parker (PIT),321,"1,316",4.1,32,9,2,0,23,164,7.1,0,0,15,160,10.7,0.00%
2007,17,Ryan Grant (GB),188,956,5.1,66,10,8,3,30,145,4.8,0,1,15,156.1,10.4,0.00%
2007,18,Fred Taylor (JAC),223,"1,202",5.4,80,8,5,0,9,58,6.4,0,0,15,156,10.4,0.00%
2007,19,Kenny Watson (CIN),178,763,4.3,24,1,7,0,52,374,7.2,0,0,15,155.7,10.4,0.00%
2007,20,Chester Taylor (MIN),157,844,5.4,84,6,7,8,29,281,9.7,0,1,14,152.5,10.9,0.00%
2007,21,Brandon Jacobs (NYG),202,"1,009",5,43,4,4,4,23,174,7.6,2,2,11,150.3,13.7,0.00%
2007,22,Thomas Jones (NYJ),310,"1,119",3.6,36,2,1,5,28,217,7.8,1,0,16,145.6,9.1,0.00%
2007,23,Reggie Bush (NO),157,581,3.7,22,2,4,13,73,417,5.7,2,0,12,141.8,11.8,0.00%
2007,24,Laurence Maroney (NE),185,835,4.5,59,2,6,0,4,116,29,0,0,13,133.1,10.2,0.00%
2007,25,Ronnie Brown (MIA),119,602,5.1,60,2,4,0,39,389,10,1,0,7,131.1,18.7,0.00%
2007,26,Kevin Jones (DET),153,581,3.8,34,2,8,0,32,197,6.2,0,0,13,125.8,9.7,0.00%
2007,26,DeShaun Foster (CAR),247,876,3.5,20,1,3,11,25,182,7.3,1,2,16,125.8,7.9,0.00%
2007,28,Ron Dayne (HOU),194,773,4,39,5,6,2,17,112,6.6,0,0,13,124.5,9.6,0.00%
2007,29,Warrick Dunn (ATL),227,720,3.2,38,3,4,9,37,238,6.4,0,0,16,119.8,7.5,0.00%
2007,30,DeAngelo Williams (CAR),144,717,5,75,5,4,6,23,175,7.6,1,0,16,119.2,7.5,0.10%
2007,31,Adrian Peterson (CHI),151,510,3.4,21,2,3,0,51,420,8.2,0,0,16,115.4,7.2,0.00%
2007,32,Maurice Morris (SEA),140,628,4.5,46,3,4,10,23,213,9.3,1,1,13,112.1,8.6,0.00%
2007,33,Najeh Davenport (PIT),107,499,4.7,45,2,5,0,18,184,10.2,2,0,15,110.3,7.4,0.00%
2007,34,Shaun Alexander (SEA),207,716,3.5,25,5,4,1,14,76,5.4,1,0,13,109.2,8.4,0.00%
2007,35,Cedric Benson (CHI),196,674,3.4,43,3,4,0,17,123,7.2,0,0,11,103.7,9.4,0.00%
2007,36,Derrick Ward (NYG),125,602,4.8,44,4,3,0,26,179,6.9,1,0,8,102.1,12.8,0.00%
2007,37,Selvin Young (DEN),140,729,5.2,50,7,1,0,35,231,6.6,0,0,15,102,6.8,0.00%
2007,38,Travis Henry (DEN),167,691,4.1,33,3,4,0,7,65,9.3,0,0,11,99.6,9.1,0.00%
2007,39,Larry Johnson (KC),158,559,3.5,54,5,3,0,30,186,6.2,1,0,8,98.5,12.3,0.00%
2007,40,Aaron Stecker (NO),115,448,3.9,26,1,5,6,36,211,5.9,0,0,15,95.9,6.4,0.00%
2007,41,Jerious Norwood (ATL),103,613,6,67,6,1,5,28,277,9.9,0,0,15,95,6.3,0.00%
2007,42,Chris Brown (TEN),102,462,4.5,42,3,5,0,19,128,6.7,0,0,12,89,7.4,0.00%
2007,43,LaMont Jordan (OAK),144,549,3.8,33,4,3,0,28,247,8.8,0,0,11,87.1,7.9,0.00%
2007,44,Rudi Johnson (CIN),170,497,2.9,22,2,3,0,13,110,8.5,1,0,11,86.7,7.9,0.00%
2007,45,Kenton Keith (IND),121,533,4.4,22,2,3,0,13,77,5.9,1,0,16,85,5.3,0.00%
2007,46,Leon Washington (NYJ),71,353,5,49,1,3,3,36,213,5.9,0,1,16,76,4.8,0.00%
2007,47,Jesse Chatman (MIA),128,515,4,30,3,1,0,27,161,6,0,0,13,73.6,5.7,0.00%
2007,48,Kevin Faulk (NE),62,265,4.3,14,0,0,0,47,383,8.1,1,0,16,70.8,4.4,0.00%
2007,49,Reuben Droughns (NYG),85,275,3.2,45,2,6,0,7,49,7,0,0,16,68.4,4.3,0.00%
2007,50,Kolby Smith (KC),112,407,3.6,19,0,2,2,22,148,6.7,0,0,11,67.5,6.1,0.00%
2006,1,LaDainian Tomlinson (LAC),348,"1,815",5.2,85,12,28,0,56,508,9.1,3,0,16,427.1,26.7,0.00%
2006,2,Larry Johnson (KC),416,"1,789",4.3,47,10,17,0,41,410,10,2,0,16,333.9,20.9,0.00%
2006,3,Steven Jackson (LAR),346,"1,528",4.4,59,9,13,0,90,806,9,3,0,16,329.4,20.6,0.00%
2006,4,Frank Gore (SF),312,"1,695",5.4,72,15,8,0,61,485,8,1,0,16,272,17,8.40%
2006,5,Willie Parker (PIT),337,"1,494",4.4,76,12,13,0,31,222,7.2,3,0,16,267.6,16.7,0.00%
2006,6,Brian Westbrook (PHI),240,"1,217",5.1,71,8,7,0,77,699,9.1,4,0,15,257.6,17.2,0.00%
2006,7,Tiki Barber (NYG),327,"1,662",5.1,55,11,5,0,58,465,8,0,0,16,242.7,15.2,0.00%
2006,8,Maurice Jones-Drew (JAC),166,941,5.7,74,7,13,0,46,436,9.5,2,0,16,227.7,14.2,0.00%
2006,9,Rudi Johnson (CIN),341,"1,309",3.8,22,5,12,0,23,124,5.4,0,0,16,215.3,13.5,0.00%
2006,10,Deuce McAllister (NO),244,"1,057",4.3,57,6,10,0,30,198,6.6,0,0,15,191.5,12.8,0.00%
2006,11,Ladell Betts (WAS),245,"1,154",4.7,26,6,4,0,53,445,8.4,1,0,16,189.9,11.9,0.00%
2006,12,Joseph Addai (IND),226,"1,081",4.8,41,3,7,0,40,325,8.1,1,0,16,188.6,11.8,0.00%
2006,13,Chester Taylor (MIN),303,"1,216",4,95,6,6,0,42,288,6.9,0,0,15,186.4,12.4,0.00%
2006,14,Marion Barber (DAL),135,654,4.8,25,4,14,0,23,196,8.5,2,0,16,181,11.3,0.00%
2006,15,Ahman Green (GB),266,"1,059",4,70,3,5,0,46,373,8.1,1,0,14,179.2,12.8,0.00%
2006,16,Jamal Lewis (BAL),314,"1,132",3.6,52,3,9,0,18,115,6.4,0,0,16,178.7,11.2,0.00%
2006,17,Reggie Bush (NO),155,565,3.6,18,0,6,0,88,742,8.4,2,0,16,176.7,11,0.00%
2006,18,Fred Taylor (JAC),231,"1,146",5,76,6,5,0,23,242,10.5,1,0,15,174.8,11.7,0.00%
2006,19,Corey Dillon (NE),199,812,4.1,50,3,13,0,15,147,9.8,0,0,16,173.9,10.9,0.00%
2006,20,Edgerrin James (ARI),337,"1,159",3.4,18,0,6,0,38,217,5.7,0,0,16,173.6,10.9,0.00%
2006,21,Travis Henry (TEN),270,"1,211",4.5,70,9,7,0,18,78,4.3,0,0,14,172.9,12.4,0.00%
2006,22,Thomas Jones (CHI),296,"1,210",4.1,30,4,6,0,36,154,4.3,0,0,16,172.2,10.8,0.00%
2006,23,Kevin Jones (DET),181,689,3.8,52,5,6,0,61,520,8.5,2,0,12,168.9,14.1,0.00%
2006,24,Warrick Dunn (ATL),286,"1,140",4,90,7,4,0,22,170,7.7,1,0,16,161,10.1,0.00%
2006,25,Ronnie Brown (MIA),241,"1,008",4.2,47,6,5,0,33,276,8.4,0,0,13,158.4,12.2,0.00%
2006,26,Willis McGahee (BUF),259,990,3.8,57,4,6,0,18,156,8.7,0,0,14,150.6,10.8,0.00%
2006,27,Shaun Alexander (SEA),252,896,3.6,33,2,7,0,12,48,4,0,0,10,136.4,13.6,0.00%
2006,28,Laurence Maroney (NE),175,745,4.3,41,7,6,0,22,194,8.8,1,0,14,135.9,9.7,0.00%
2006,29,Mike Bell (DEN),157,677,4.3,48,3,8,0,20,158,7.9,0,0,14,131.5,9.4,0.00%
2006,30,Tatum Bell (DEN),233,"1,025",4.4,51,7,2,0,24,115,4.8,0,0,13,126,9.7,0.00%
2006,31,DeShaun Foster (CAR),227,897,4,43,3,3,0,32,159,5,0,0,14,123.6,8.8,0.00%
2006,32,Dominic Rhodes (IND),187,641,3.4,17,0,5,0,36,251,7,0,0,16,119.2,7.5,0.00%
2006,33,Reuben Droughns (CLE),220,758,3.4,22,1,4,0,27,169,6.3,0,0,14,116.7,8.3,0.00%
2006,34,Leon Washington (NYJ),151,650,4.3,23,2,4,0,25,270,10.8,0,0,16,116,7.3,0.00%
2006,35,Clinton Portis (WAS),127,523,4.1,38,3,7,0,17,170,10,0,0,8,111.3,13.9,0.00%
2006,36,Brandon Jacobs (NYG),96,423,4.4,16,0,9,0,11,149,13.5,0,0,15,111.2,7.4,0.00%
2006,37,Cedric Benson (CHI),157,647,4.1,30,2,6,0,8,54,6.8,0,0,15,106.1,7.1,0.00%
2006,38,Cadillac Williams (TB),225,798,3.5,38,4,1,0,30,196,6.5,0,0,14,105.4,7.5,0.00%
2006,39,Ron Dayne (HOU),151,612,4.1,19,0,5,0,14,77,5.5,0,0,10,100.9,10.1,0.00%
2006,40,Wali Lundy (HOU),124,476,3.8,35,4,4,0,33,204,6.2,0,0,13,94,7.2,0.00%
2006,41,DeAngelo Williams (CAR),121,501,4.1,31,5,1,0,33,313,9.5,1,0,13,93.4,7.2,0.10%
2006,42,Jerious Norwood (ATL),99,633,6.4,78,4,2,0,12,102,8.5,0,0,14,85.5,6.1,0.00%
2006,43,Justin Fargas (OAK),178,659,3.7,48,1,1,0,13,91,7,0,0,16,81,5.1,0.00%
2006,44,Correll Buckhalter (PHI),83,345,4.2,20,1,2,0,24,256,10.7,1,0,16,78.1,4.9,0.00%
2006,45,Kevan Barlow (NYJ),131,370,2.8,12,0,6,0,7,21,3,0,0,12,75.1,6.3,0.00%
2006,46,Cedric Houston (NYJ),113,374,3.3,31,2,5,0,7,43,6.1,0,0,8,71.7,9,0.00%
2006,47,Michael Pittman (TB),50,245,4.9,32,1,1,0,47,405,8.6,0,0,16,71,4.4,0.00%
2006,48,Mewelde Moore (MIN),24,131,5.5,15,0,0,0,46,468,10.2,1,0,16,70.5,4.4,0.00%
2006,49,Vernand Morency (GB),96,434,4.5,39,4,2,0,17,118,6.9,0,0,14,67.2,4.8,0.00%
2006,50,Michael Turner (LAC),80,502,6.3,73,7,2,0,3,47,15.7,0,0,13,66.9,5.1,0.00%
2005,1,Shaun Alexander (SEA),370,"1,880",5.1,88,14,27,7,15,78,5.2,1,0,16,363.8,22.7,0.00%
2005,2,Larry Johnson (KC),336,"1,750",5.2,49,15,20,0,33,343,10.4,1,0,16,335.3,21,0.00%
2005,3,LaDainian Tomlinson (LAC),339,"1,462",4.3,62,8,18,9,51,370,7.3,2,0,16,317.1,19.8,0.00%
2005,4,Tiki Barber (NYG),357,"1,860",5.2,95,16,9,15,54,530,9.8,2,0,16,307,19.2,0.00%
2005,5,Edgerrin James (IND),360,"1,506",4.2,33,5,13,0,44,337,7.7,1,0,15,268.3,17.9,0.00%
2005,6,Clinton Portis (WAS),352,"1,516",4.3,47,6,11,6,30,216,7.2,0,0,16,245.9,15.4,0.00%
2005,7,LaMont Jordan (OAK),272,"1,025",3.8,26,4,9,0,70,563,8,2,0,14,226.8,16.2,0.00%
2005,7,Rudi Johnson (CIN),337,"1,458",4.3,33,5,12,0,23,90,3.9,0,0,16,226.8,14.2,0.00%
2005,9,Thomas Jones (CHI),314,"1,335",4.3,42,12,9,5,26,143,5.5,0,1,15,199.8,13.3,0.00%
2005,10,Mike Anderson (DEN),239,"1,014",4.2,44,4,12,2,18,212,11.8,1,1,15,198.6,13.2,0.00%
2005,11,Steven Jackson (LAR),254,"1,046",4.1,51,6,8,2,43,320,7.4,2,0,15,196.6,13.1,0.00%
2005,12,Warrick Dunn (ATL),280,"1,416",5.1,65,11,3,1,29,220,7.6,1,0,16,187.6,11.7,0.00%
2005,13,Willis McGahee (BUF),325,"1,247",3.8,27,4,5,0,28,178,6.4,0,0,16,172.5,10.8,0.00%
2005,14,Reuben Droughns (CLE),309,"1,232",4,75,7,2,0,39,369,9.5,0,0,16,172.1,10.8,0.00%
2005,15,Willie Parker (PIT),255,"1,202",4.7,80,8,4,5,18,218,12.1,1,0,15,172,11.5,0.00%
2005,16,Corey Dillon (NE),209,733,3.5,29,2,12,0,22,181,8.2,1,0,11,169.4,15.4,0.00%
2005,17,Brian Westbrook (PHI),156,617,4,31,5,3,0,61,616,10.1,4,0,12,167.3,13.9,0.00%
2005,17,Domanick Williams (HOU),230,976,4.2,44,3,2,4,39,337,8.6,4,0,11,167.3,15.2,0.00%
2005,19,Cadillac Williams (TB),290,"1,178",4.1,71,7,6,3,20,81,4.1,0,0,14,161.9,11.6,0.00%
2005,20,Chris Brown (TEN),224,851,3.8,38,5,5,0,25,327,13.1,2,0,15,159.8,10.7,0.00%
2005,21,Tatum Bell (DEN),173,921,5.3,68,10,8,0,18,104,5.8,0,0,14,150.5,10.8,0.00%
2005,22,Ronnie Brown (MIA),207,907,4.4,65,5,4,0,32,232,7.3,1,0,15,143.9,9.6,0.00%
2005,23,DeShaun Foster (CAR),205,879,4.3,70,3,2,0,34,372,10.9,1,0,15,143.1,9.5,0.00%
2005,24,Jamal Lewis (BAL),269,906,3.4,25,3,3,0,32,191,6,1,1,15,131.7,8.8,0.00%
2005,25,Stephen Davis (CAR),180,549,3.1,39,2,12,0,5,45,9,0,0,13,131.4,10.1,0.00%
2005,26,Ricky Williams (MIA),168,743,4.4,35,4,6,0,17,93,5.5,0,0,12,119.6,10,0.00%
2005,27,Mewelde Moore (MIN),155,662,4.3,33,5,1,0,37,339,9.2,2,0,16,118.1,7.4,0.00%
2005,28,Curtis Martin (NYJ),220,735,3.3,49,4,5,3,24,118,4.9,0,0,12,115.3,9.6,0.00%
2005,29,Sam Gado (GB),143,582,4.1,64,3,6,1,10,77,7.7,1,0,8,107.9,13.5,0.00%
2005,30,Kevin Jones (DET),186,664,3.6,40,3,5,7,20,109,5.5,0,0,13,107.3,8.3,0.00%
2005,31,Priest Holmes (KC),119,451,3.8,35,3,6,0,21,197,9.4,1,0,7,106.8,15.3,0.00%
2005,32,Fred Taylor (JAC),194,787,4.1,71,1,3,1,13,83,6.4,0,0,11,105,9.5,0.00%
2005,33,Kevan Barlow (SF),176,581,3.3,29,4,3,0,31,241,7.8,0,0,12,100.2,8.4,0.00%
2005,34,Marion Barber (DAL),138,538,3.9,28,3,5,4,18,115,6.4,0,0,13,95.3,7.3,0.00%
2005,35,Jerome Bettis (PIT),110,368,3.3,39,1,9,0,4,40,10,0,0,12,94.8,7.9,0.00%
2005,36,T.J. Duckett (ATL),121,380,3.1,25,1,8,0,6,63,10.5,0,0,14,92.3,6.6,0.00%
2005,37,Frank Gore (SF),127,608,4.8,72,4,3,2,15,131,8.7,0,0,14,91.9,6.6,8.40%
2005,38,Michael Bennett (MIN),126,473,3.8,61,3,3,0,27,124,4.6,2,0,16,89.7,5.6,0.00%
2005,39,Antowain Smith (NO),166,659,4,42,4,3,0,12,46,3.8,0,0,16,88.5,5.5,0.00%
2005,40,Greg Jones (JAC),151,575,3.8,27,5,4,1,10,65,6.5,0,0,14,88,6.3,0.00%
2005,41,Michael Pittman (TB),70,436,6.2,64,5,1,4,36,300,8.3,1,0,15,85.6,5.7,0.00%
2005,42,Chester Taylor (BAL),117,487,4.2,52,2,0,7,41,292,7.1,1,0,15,83.9,5.6,0.00%
2005,43,Jonathan Wells (HOU),90,325,3.6,14,0,4,1,22,179,8.1,0,0,13,74.4,5.7,0.00%
2005,44,Mike Alstott (TB),34,80,2.4,9,0,6,3,25,222,8.9,1,0,15,74.2,4.9,0.00%
2005,45,Chris Perry (CIN),61,279,4.6,30,2,0,0,51,328,6.4,2,0,14,72.7,5.2,0.00%
2005,46,Artose Pinner (DET),106,349,3.3,19,0,3,4,21,181,8.6,0,0,14,71,5.1,0.00%
2005,47,Marcel Shipp (ARI),157,451,2.9,19,0,0,0,35,255,7.3,0,0,15,70.6,4.7,0.00%
2005,48,Marshall Faulk (LAR),65,292,4.5,20,1,0,1,44,291,6.6,1,0,15,66.3,4.4,0.00%
2005,49,Patrick Pass (NE),54,245,4.5,31,1,3,0,22,227,10.3,0,0,10,65.2,6.5,0.00%
2005,50,Shawn Bryson (DET),64,306,4.8,77,1,1,6,37,284,7.7,0,0,16,65,4.1,0.00%
2004,1,Shaun Alexander (SEA),353,"1,696",4.8,44,15,16,38,23,170,7.4,4,3,16,300.6,18.8,0.00%
2004,2,Tiki Barber (NYG),322,"1,518",4.7,72,11,13,79,52,578,11.1,2,2,16,295.6,18.5,0.00%
2004,3,LaDainian Tomlinson (LAC),339,"1,335",3.9,42,6,17,66,53,441,8.3,1,2,15,283.1,18.9,0.00%
2004,4,Curtis Martin (NYJ),371,"1,697",4.6,25,7,12,49,41,245,6,2,0,16,278.2,17.4,0.00%
2004,5,Edgerrin James (IND),334,"1,548",4.6,40,6,9,58,51,483,9.5,0,2,16,255.1,15.9,0.00%
2004,6,Domanick Williams (HOU),302,"1,188",3.9,44,5,13,84,68,588,8.6,1,4,15,253.6,16.9,0.00%
2004,7,Corey Dillon (NE),345,"1,635",4.7,44,8,12,21,15,103,6.9,1,4,15,245.8,16.4,0.00%
2004,8,Rudi Johnson (CIN),361,"1,454",4,52,7,12,28,15,84,5.6,0,4,16,217.8,13.6,0.00%
2004,9,Willis McGahee (BUF),284,"1,128",4,41,10,13,36,22,169,7.7,0,2,15,203.7,13.6,0.00%
2004,10,Brian Westbrook (PHI),177,812,4.6,50,7,3,87,73,703,9.6,6,1,13,203.5,15.7,0.00%
