RK,Name,POS,GP,ATT,YDS,AVG,LNG,BIG,TD,YDS/G,FUM,LST,FD
211,Q. EwersMIA,QB,4,8,19,2.4,9,0,0,4.8,2,0,1
215,C. OladokunKC,QB,3,5,18,3.6,7,0,0,6,2,1,0
215,C. DikeTEN,WR,17,11,18,1.6,9,0,0,1.1,0,0,0
215,P. MafahDAL,RB,1,5,18,3.6,8,0,1,18,0,0,2
215,M. TiptonNO,WR,14,4,18,4.5,12,0,0,1.3,1,0,2
219,R. JohnsonCHI,RB,7,2,17,8.5,11,0,0,2.4,0,0,1
220,G. DortchARI,WR,12,7,15,2.1,9,0,1,1.3,0,0,1
220,N. CollinsHOU,WR,15,2,15,7.5,8,0,1,1,0,0,1
222,J. ChaseCIN,WR,16,3,14,4.7,9,0,0,0.9,0,0,0
222,A. IosivasCIN,WR,17,3,14,4.7,5,0,0,0.8,0,0,0
222,A. BarnerSEA,TE,17,10,14,1.4,2,0,1,0.8,0,0,9
225,J. MeyersLV/JAX,WR,16,5,13,2.6,4,0,0,0.8,0,0,1
225,C. Edwards-HelaireKC,RB,2,7,13,1.9,7,0,0,6.5,0,0,1
225,J. NailorMIN,WR,17,2,13,6.5,15,0,0,0.8,0,0,1
225,A. SmithNYJ,WR,16,4,13,3.3,13,0,0,0.8,0,0,1
225,H. Fannin Jr.CLE,TE,16,7,13,1.9,4,0,1,0.8,1,1,2
225,K. JohnsonTB,WR,17,2,13,6.5,11,0,0,0.8,0,0,1
231,D. MetcalfPIT,WR,15,2,12,6,6,0,1,0.8,0,0,1
231,D. MooreCAR,WR,4,1,12,12,12,0,0,3,0,0,1
231,J. WilliamsDET,WR,17,6,12,2,9,0,0,0.7,0,0,0
231,T. FranklinDEN,WR,17,5,12,2.4,11,0,0,0.7,0,0,2
231,J. WhittingtonLAR,WR,17,3,12,4,6,0,0,0.7,0,0,0
231,J. NoelHOU,WR,17,6,12,2,5,0,0,0.7,0,0,0
237,N. RemigioKC,WR,14,1,11,11,11,0,0,0.8,0,0,1
237,J. SaylorsDET,RB,16,2,11,5.5,9,0,0,0.7,0,0,1
237,S. MooreSF,WR,17,2,11,5.5,10,0,0,0.6,0,0,1
237,J. WilliamsTB,RB,3,4,11,2.8,4,0,0,3.7,0,0,0
237,M. BrosmerMIN,QB,8,7,11,1.6,11,0,0,1.4,0,0,1
242,K. WilliamsPIT/CIN,WR,11,2,10,5,9,0,0,0.9,0,0,0
242,T. HarrisLAC,WR,17,2,10,5,7,0,0,0.6,0,0,0
244,C. MooreWSH,WR,14,1,9,9,9,0,0,0.6,0,0,0
244,A. IngoldMIA,FB,17,2,9,4.5,6,0,0,0.5,0,0,1
244,D. LaubeLV,RB,17,7,9,1.3,3,0,0,0.5,0,0,0
244,A. St. BrownDET,WR,17,3,9,3,6,0,0,0.5,0,0,1
244,E. EgbukaTB,WR,17,2,9,4.5,9,0,0,0.5,0,0,0
249,T. WarrenIND,TE,17,6,8,1.3,3,0,1,0.5,1,0,3
249,T. McKeePHI,QB,4,8,8,1,9,0,0,2,0,0,1
249,A. JohnsonLAC,RB,2,2,8,4,6,0,0,4,0,0,0
252,K. CousinsATL,QB,10,14,7,0.5,6,0,1,0.7,1,1,4
252,E. EngramDEN,TE,16,1,7,7,7,0,0,0.4,0,0,0
252,A. O'ConnellLV,QB,1,1,7,7,7,0,0,7,0,0,0
252,J. JeffersonMIN,WR,17,2,7,3.5,4,0,0,0.4,0,0,0
252,Q. JohnstonLAC,WR,14,2,7,3.5,9,0,0,0.5,0,0,0
252,K. MullingsTEN,RB,9,3,7,2.3,4,0,0,0.8,0,0,2
252,T. BagentCHI,QB,3,2,7,3.5,7,0,0,2.3,1,0,0
252,J. LaneWSH,WR,15,1,7,7,7,0,0,0.5,0,0,0
260,M. TrubiskyBUF,QB,4,9,6,0.7,9,0,0,1.5,0,0,0
260,D. RobinsonSF,WR,14,1,6,6,6,0,0,0.4,0,0,0
260,M. RudolphPIT,QB,5,7,6,0.9,3,0,0,1.2,0,0,2
260,M. GaskinSEA,RB,1,3,6,2,3,0,0,6,0,0,0
260,B. AubreyDAL,PK,17,1,6,6,6,0,0,0.4,0,0,1
260,O. WrightTB,RB,3,3,6,2,4,0,0,2,0,0,0
260,D. WicksGB,WR,14,1,6,6,6,0,0,0.4,0,0,0
267,A. BeckNYJ,FB,17,1,5,5,5,0,0,0.3,0,0,1
267,C.J. HamMIN,FB,11,3,5,1.7,3,0,2,0.5,0,0,2
267,J. JeudyCLE,WR,17,1,5,5,5,0,0,0.3,0,0,1
267,D. DavisLAC,WR,11,2,5,2.5,3,0,0,0.5,0,0,0
267,K. ShakirBUF,WR,16,1,5,5,5,0,0,0.3,0,0,0
267,D. ThompkinsATL,WR,7,1,5,5,5,0,0,0.7,0,0,0
267,W. RobinsonNYG,WR,16,3,5,1.7,3,0,0,0.3,0,0,1
274,T. BridgewaterDET/TB,QB,4,3,4,1.3,6,0,0,1,0,0,0
274,D. WallerMIA,TE,9,1,4,4,4,0,0,0.4,0,0,1
274,M. HollinsNE,WR,15,1,4,4,4,0,0,0.3,0,0,0
274,F. FranksATL,TE,17,2,4,2,2,0,0,0.2,0,0,2
274,S. BuecheleKC,QB,1,1,4,4,4,0,0,4,0,0,0
274,R. GilliamBUF,FB,17,2,4,2,5,0,0,0.2,0,0,1
274,C. ReynoldsDET,RB,7,3,4,1.3,3,0,0,0.6,0,0,0
274,J. MilroeSEA,QB,3,3,4,1.3,3,0,0,1.3,1,1,0
274,S. VakiDET,RB,11,1,4,4,4,0,0,0.4,0,0,0
283,P. RicardBAL,FB,11,1,3,3,3,0,0,0.3,0,0,1
283,D. SampleCIN,TE,17,1,3,3,3,0,0,0.2,0,0,0
283,R. Thomas IIIND,S,17,1,3,3,3,0,0,0.2,0,0,1
283,C. WatsonGB,WR,10,1,3,3,3,0,0,0.3,0,0,0
283,I. Pola-MaoLV,S,17,1,3,3,3,0,0,0.2,0,0,0
283,S. JacksonLV,WR,5,1,3,3,3,0,0,0.6,0,0,0
283,C. StoverHOU,TE,9,4,3,0.8,2,0,0,0.3,0,0,2
283,T. KraftGB,TE,8,1,3,3,3,0,0,0.4,0,0,0
283,K. WilliamsNE,WR,17,2,3,1.5,5,0,0,0.2,0,0,0
283,G. LarvadainCLE,WR,13,1,3,3,3,0,0,0.2,0,0,0
293,T. ConklinLAC,TE,13,1,2,2,2,0,0,0.2,0,0,1
293,G. Minshew IIKC,QB,4,6,2,0.3,8,0,0,0.5,0,0,0
293,C. LambDAL,WR,14,1,2,2,2,0,0,0.1,0,0,0
293,K. MiltonCIN,RB,1,2,2,1,2,0,0,2,0,0,0
293,B. BowersLV,TE,12,2,2,1,6,0,0,0.2,0,0,0
298,M. StaffordLAR,QB,17,29,1,0,6,0,0,0.1,3,1,0
298,T. KelceKC,TE,17,1,1,1,1,0,0,0.1,0,0,0
298,M. CunninghamDET,WR,1,1,1,1,1,0,0,1,0,0,0
298,J. FergusonDAL,TE,17,1,1,1,1,0,0,0.1,0,0,0
298,Z. WilsonMIA,QB,4,3,1,0.3,3,0,0,0.3,0,0,0
298,J. McMillanTB,WR,4,1,1,1,1,0,0,0.3,0,0,0
298,M. EvansCAR,TE,17,1,1,1,1,0,0,0.1,0,0,1
305,T.J. HockensonMIN,TE,15,1,0,0,0,0,0,0,0,0,0
305,G. StuardDET,LB,17,1,0,0,0,0,0,0,0,0,0
305,U. Bentley IVIND,RB,1,1,0,0,0,0,0,0,0,0,0
305,X. LegetteCAR,WR,15,1,0,0,0,0,0,0,0,0,0
305,P. WashingtonJAX,WR,16,7,0,0,5,0,0,0,0,0,1
305,T. FergusonLAR,TE,14,1,0,0,0,0,0,0,0,0,0
305,T. HunterJAX,WR,7,1,0,0,0,0,0,0,0,0,0
312,P. RiversIND,QB,3,2,-1,-0.5,0,0,0,-0.3,1,0,0
312,J. StidhamDEN,QB,1,1,-1,-1,-1,0,0,-1,0,0,0
312,A. MartinezSF,QB,1,1,-1,-1,-1,0,0,-1,0,0,0
312,A. Richardson Sr.IND,QB,2,4,-1,-0.3,2,0,0,-0.5,0,0,1
316,A. DaltonPHI/CAR,QB,4,5,-2,-0.4,1,0,0,-0.5,1,1,0
316,N. HinesLAC/NO,RB,4,2,-2,-1,1,0,0,-0.5,0,0,0
316,T. HomerCHI,RB,10,1,-2,-2,-2,0,0,-0.2,0,0,0
316,R. PearsallSF,WR,9,2,-2,-1,2,0,0,-0.2,0,0,0
316,J. DownsIND,WR,16,2,-2,-1,3,0,0,-0.1,0,0,0
316,C. LovelandCHI,TE,16,1,-2,-2,-2,0,0,-0.1,0,0,0
322,K. JuszczykSF,FB,17,2,-3,-1.5,-1,0,0,-0.2,0,0,0
322,G. KittleSF,TE,11,1,-3,-3,-3,0,0,-0.3,0,0,0
322,K. AllenDET,QB,3,3,-3,-1,-1,0,0,-1,0,0,0
322,C. OlaveNO,WR,16,1,-3,-3,-3,0,0,-0.2,0,0,0
326,C. RushBAL,QB,4,4,-4,-1,0,0,0,-1,1,1,0
326,A. MitchellIND/NYJ,WR,16,1,-4,-4,-4,0,0,-0.3,0,0,0
328,J. DobbsNE,QB,4,10,-5,-0.5,2,0,0,-1.3,0,0,0
328,D. LockSEA,QB,5,6,-5,-0.8,0,0,0,-1,2,0,0
328,J. Metchie IIINYJ/PHI,WR,16,3,-5,-1.7,4,0,0,-0.3,0,0,0
331,G. DulcichMIA,TE,10,1,-7,-7,-7,0,0,-0.7,0,0,0
332,N. MullensJAX,QB,5,12,-8,-0.7,0,0,0,-1.6,0,0,0
333,J. GaroppoloLAR,QB,3,9,-10,-1.1,-1,0,0,-3.3,0,0,0
334,J. GillanNYG,P,16,1,-13,-13,-13,0,0,-0.8,0,0,0
335,B. MannPHI,P,17,1,-34,-34,-34,0,0,-2,0,0,0
