RK,Name,POS,GP,REC,TGTS,YDS,AVG,TD,LNG,BIG,YDS/G,FUM,LST,YAC,FD
315,Nick ChubbHOU,RB,15,13,20,67,5.2,0,27,1,4.5,0,0,63,1
315,Xavier WeaverARI,WR,10,7,13,67,9.6,0,23,1,6.7,0,0,20,2
317,James Proche IITEN,WR,9,6,12,65,10.8,0,23,1,7.2,0,0,2,2
318,Trey BensonARI,RB,4,13,16,64,4.9,0,12,0,16,0,0,73,2
318,Kameron JohnsonTB,WR,17,4,7,64,16,1,34,1,3.8,0,0,20,3
320,Keaton MitchellBAL,RB,13,9,12,63,7,0,17,0,4.8,0,0,85,2
321,Scotty MillerPIT,WR,13,9,14,62,6.9,0,15,0,4.8,0,0,31,4
321,Dee EskridgeMIA,WR,13,4,7,62,15.5,0,40,1,4.8,0,0,9,3
323,Foster MoreauNO,TE,11,7,10,59,8.4,0,16,0,5.4,0,0,44,2
324,Shedrick JacksonLV,WR,5,4,5,56,14,1,25,1,11.2,0,0,4,2
324,Will ShipleyPHI,RB,15,9,12,56,6.2,0,12,0,3.7,0,0,63,2
326,Trayveon WilliamsLAC/CLE,RB,7,8,9,55,6.9,0,26,1,7.9,0,0,83,2
326,Quintin MorrisJAX,TE,14,6,9,55,9.2,1,14,0,3.9,0,0,21,4
328,LeQuint Allen Jr.JAX,RB,17,10,11,54,5.4,0,10,0,3.2,0,0,61,0
329,Robbie ChosenWSH,WR,3,5,9,53,10.6,0,17,0,17.7,0,0,5,2
329,Anthony FirkserDET,TE,7,8,10,53,6.6,0,18,0,7.6,0,0,12,4
329,Adam PrenticeDEN,FB,17,6,8,53,8.8,0,14,0,3.1,0,0,43,3
332,Alec IngoldMIA,FB,17,8,11,52,6.5,0,22,1,3.1,0,0,45,4
332,Stone SmarttNYJ,TE,15,7,9,52,7.4,0,17,0,3.5,0,0,27,3
332,Arian SmithNYJ,WR,16,7,16,52,7.4,0,23,1,3.3,0,0,33,4
335,Jordan MasonMIN,RB,16,14,16,51,3.6,0,13,0,3.2,1,0,102,1
335,KeAndre Lambert-SmithLAC,WR,10,5,12,51,10.2,1,18,0,5.1,0,0,21,3
335,Jalen BrooksARI/DAL,WR,6,3,6,51,17,0,20,1,8.5,0,0,19,3
338,Michael BandyDEN,WR,4,4,4,50,12.5,1,20,1,12.5,0,0,26,3
339,Charlie WoernerATL,TE,17,8,9,48,6,0,18,0,2.8,0,0,35,2
339,Mason KinseyTEN,WR,10,2,4,48,24,0,34,1,4.8,0,0,3,2
339,Brenden BatesHOU/CLE,TE,9,4,5,48,12,0,19,0,5.3,0,0,10,3
339,Nate AdkinsDEN,TE,9,6,11,48,8,1,16,0,5.3,0,0,26,3
339,Dareke YoungSEA,WR,9,2,3,48,24,0,36,1,5.3,0,0,0,2
344,Jack StollNO,TE,15,6,11,46,7.7,1,13,0,3.1,0,0,17,2
344,Austin TrammellJAX,WR,6,3,10,46,15.3,0,18,0,7.7,0,0,2,2
346,Andrew BeckNYJ,FB,17,6,9,45,7.5,2,17,0,2.6,0,0,20,4
346,Tylan WallaceBAL,WR,14,4,8,45,11.3,1,15,0,3.2,0,0,17,3
348,Cedrick Wilson Jr.MIA,WR,10,5,9,44,8.8,0,16,0,4.4,0,0,25,3
348,Jaylen WrightMIA,RB,10,5,9,44,8.8,0,18,0,4.4,0,0,60,2
350,Dylan DrummondATL,WR,9,7,11,42,6,0,15,0,4.7,0,0,14,2
351,Xavier RestrepoTEN,WR,2,3,7,41,13.7,0,15,0,20.5,0,0,9,3
352,Kylen GransonPHI,TE,17,7,9,40,5.7,0,12,0,2.4,0,0,13,3
353,James ConnerARI,RB,3,8,9,38,4.8,1,18,0,12.7,0,0,68,4
353,Austin EkelerWSH,RB,2,5,7,38,7.6,0,15,0,19,0,0,49,2
355,Braxton BerriosHOU,WR,4,6,8,37,6.2,0,14,0,9.3,0,0,18,3
355,J.K. DobbinsDEN,RB,10,11,14,37,3.4,0,9,0,3.7,0,0,56,0
355,Tahj WashingtonMIA,WR,6,3,5,37,12.3,0,19,0,6.2,1,1,8,1
358,Tom KennedyDET,WR,6,4,4,36,9,0,23,1,6,0,0,4,2
358,Albert Okwuegbunam Jr.LV,TE,1,5,6,36,7.2,0,16,0,36,0,0,34,2
358,Josh WhyleGB,TE,8,5,6,36,7.2,1,21,1,4.5,0,0,21,2
358,Blake CorumLAR,RB,17,8,14,36,4.5,0,14,0,2.1,0,0,37,2
362,Keleki LatuBUF,TE,5,4,4,35,8.8,0,14,0,7,0,0,23,3
362,Jalin HyattNYG,WR,8,5,14,35,7,0,14,0,4.4,0,0,2,2
364,Ryan MillerTB,WR,13,2,4,34,17,1,20,1,2.6,0,0,0,1
364,Jawhar JordanHOU,RB,4,7,7,34,4.9,0,14,0,8.5,0,0,40,2
364,Sean TuckerTB,RB,17,8,11,34,4.3,1,28,1,2,0,0,49,1
367,Jameis WinstonNYG,QB,3,1,1,33,33,1,33,1,11,0,0,20,1
368,Tank BigsbyJAX/PHI,RB,17,3,4,32,10.7,0,31,1,1.9,0,0,39,1
